Latex,Mathml,Description
,&#x00020;,SPACE
,&#x03018;,LEFT WHITE TORTOISE SHELL BRACKET
,&#x03019;,RIGHT WHITE TORTOISE SHELL BRACKET
,&#x0301A;,"# \llbracket (stmaryrd), LEFT WHITE SQUARE BRACKET (deprecated for math use)"
,&#x0301B;,"# \rrbracket (stmaryrd), RIGHT WHITE SQUARE BRACKET (deprecated for math use)"
,&#x03030;,zigzag
,&#x0306E;,HIRAGANA LETTER NO
,&#x0FB29;,HEBREW LETTER ALTERNATIVE PLUS SIGN (doesn't have cross shape)
,&#x0FE00;,VARIATION SELECTOR-1
,&#x0FE61;,SMALL ASTERISK
,&#x0FE62;,SMALL PLUS SIGN
,&#x0FE63;,SMALL HYPHEN-MINUS
,&#x0FE64;,SMALL LESS-THAN SIGN
,&#x0FE65;,SMALL GREATER-THAN SIGN
,&#x0FE66;,SMALL EQUALS SIGN
,&#x0FE68;,SMALL REVERSE SOLIDUS
,&#x0FF0B;,FULLWIDTH PLUS SIGN
,&#x0FF1C;,FULLWIDTH LESS-THAN SIGN
,&#x0FF1D;,FULLWIDTH EQUALS SIGN
,&#x0FF1E;,FULLWIDTH GREATER-THAN SIGN
,&#x0FF3C;,FULLWIDTH REVERSE SOLIDUS
,&#x0FF3E;,FULLWIDTH CIRCUMFLEX ACCENT
,&#x0FF5C;,FULLWIDTH VERTICAL LINE
,&#x0FF5E;,FULLWIDTH TILDE
,&#x0FFE2;,FULLWIDTH NOT SIGN
,&#x0FFE9;,HALFWIDTH LEFTWARDS ARROW
,&#x0FFEA;,HALFWIDTH UPWARDS ARROW
,&#x0FFEB;,HALFWIDTH RIGHTWARDS ARROW
,&#x0FFEC;,HALFWIDTH DOWNWARDS ARROW
\mathbf{A},&#x1D400;,MATHEMATICAL BOLD CAPITAL A
\mathbf{B},&#x1D401;,MATHEMATICAL BOLD CAPITAL B
\mathbf{C},&#x1D402;,MATHEMATICAL BOLD CAPITAL C
\mathbf{D},&#x1D403;,MATHEMATICAL BOLD CAPITAL D
\mathbf{E},&#x1D404;,MATHEMATICAL BOLD CAPITAL E
\mathbf{F},&#x1D405;,MATHEMATICAL BOLD CAPITAL F
\mathbf{G},&#x1D406;,MATHEMATICAL BOLD CAPITAL G
\mathbf{H},&#x1D407;,MATHEMATICAL BOLD CAPITAL H
\mathbf{I},&#x1D408;,MATHEMATICAL BOLD CAPITAL I
\mathbf{J},&#x1D409;,MATHEMATICAL BOLD CAPITAL J
\mathbf{K},&#x1D40A;,MATHEMATICAL BOLD CAPITAL K
\mathbf{L},&#x1D40B;,MATHEMATICAL BOLD CAPITAL L
\mathbf{M},&#x1D40C;,MATHEMATICAL BOLD CAPITAL M
\mathbf{N},&#x1D40D;,MATHEMATICAL BOLD CAPITAL N
\mathbf{O},&#x1D40E;,MATHEMATICAL BOLD CAPITAL O
\mathbf{P},&#x1D40F;,MATHEMATICAL BOLD CAPITAL P
\mathbf{Q},&#x1D410;,MATHEMATICAL BOLD CAPITAL Q
\mathbf{R},&#x1D411;,MATHEMATICAL BOLD CAPITAL R
\mathbf{S},&#x1D412;,MATHEMATICAL BOLD CAPITAL S
\mathbf{T},&#x1D413;,MATHEMATICAL BOLD CAPITAL T
\mathbf{U},&#x1D414;,MATHEMATICAL BOLD CAPITAL U
\mathbf{V},&#x1D415;,MATHEMATICAL BOLD CAPITAL V
\mathbf{W},&#x1D416;,MATHEMATICAL BOLD CAPITAL W
\mathbf{X},&#x1D417;,MATHEMATICAL BOLD CAPITAL X
\mathbf{Y},&#x1D418;,MATHEMATICAL BOLD CAPITAL Y
\mathbf{Z},&#x1D419;,MATHEMATICAL BOLD CAPITAL Z
\mathbf{a},&#x1D41A;,MATHEMATICAL BOLD SMALL A
\mathbf{b},&#x1D41B;,MATHEMATICAL BOLD SMALL B
\mathbf{c},&#x1D41C;,MATHEMATICAL BOLD SMALL C
\mathbf{d},&#x1D41D;,MATHEMATICAL BOLD SMALL D
\mathbf{e},&#x1D41E;,MATHEMATICAL BOLD SMALL E
\mathbf{f},&#x1D41F;,MATHEMATICAL BOLD SMALL F
\mathbf{g},&#x1D420;,MATHEMATICAL BOLD SMALL G
\mathbf{h},&#x1D421;,MATHEMATICAL BOLD SMALL H
\mathbf{i},&#x1D422;,MATHEMATICAL BOLD SMALL I
\mathbf{j},&#x1D423;,MATHEMATICAL BOLD SMALL J
\mathbf{k},&#x1D424;,MATHEMATICAL BOLD SMALL K
\mathbf{l},&#x1D425;,MATHEMATICAL BOLD SMALL L
\mathbf{m},&#x1D426;,MATHEMATICAL BOLD SMALL M
\mathbf{n},&#x1D427;,MATHEMATICAL BOLD SMALL N
\mathbf{o},&#x1D428;,MATHEMATICAL BOLD SMALL O
\mathbf{p},&#x1D429;,MATHEMATICAL BOLD SMALL P
\mathbf{q},&#x1D42A;,MATHEMATICAL BOLD SMALL Q
\mathbf{r},&#x1D42B;,MATHEMATICAL BOLD SMALL R
\mathbf{s},&#x1D42C;,MATHEMATICAL BOLD SMALL S
\mathbf{t},&#x1D42D;,MATHEMATICAL BOLD SMALL T
\mathbf{u},&#x1D42E;,MATHEMATICAL BOLD SMALL U
\mathbf{v},&#x1D42F;,MATHEMATICAL BOLD SMALL V
\mathbf{w},&#x1D430;,MATHEMATICAL BOLD SMALL W
\mathbf{x},&#x1D431;,MATHEMATICAL BOLD SMALL X
\mathbf{y},&#x1D432;,MATHEMATICAL BOLD SMALL Y
\mathbf{z},&#x1D433;,MATHEMATICAL BOLD SMALL Z
A,&#x1D434;,"= \mathit{A}, MATHEMATICAL ITALIC CAPITAL A"
B,&#x1D435;,"= \mathit{B}, MATHEMATICAL ITALIC CAPITAL B"
C,&#x1D436;,"= \mathit{C}, MATHEMATICAL ITALIC CAPITAL C"
D,&#x1D437;,"= \mathit{D}, MATHEMATICAL ITALIC CAPITAL D"
E,&#x1D438;,"= \mathit{E}, MATHEMATICAL ITALIC CAPITAL E"
F,&#x1D439;,"= \mathit{F}, MATHEMATICAL ITALIC CAPITAL F"
G,&#x1D43A;,"= \mathit{G}, MATHEMATICAL ITALIC CAPITAL G"
H,&#x1D43B;,"= \mathit{H}, MATHEMATICAL ITALIC CAPITAL H"
I,&#x1D43C;,"= \mathit{I}, MATHEMATICAL ITALIC CAPITAL I"
J,&#x1D43D;,"= \mathit{J}, MATHEMATICAL ITALIC CAPITAL J"
K,&#x1D43E;,"= \mathit{K}, MATHEMATICAL ITALIC CAPITAL K"
L,&#x1D43F;,"= \mathit{L}, MATHEMATICAL ITALIC CAPITAL L"
M,&#x1D440;,"= \mathit{M}, MATHEMATICAL ITALIC CAPITAL M"
N,&#x1D441;,"= \mathit{N}, MATHEMATICAL ITALIC CAPITAL N"
O,&#x1D442;,"= \mathit{O}, MATHEMATICAL ITALIC CAPITAL O"
P,&#x1D443;,"= \mathit{P}, MATHEMATICAL ITALIC CAPITAL P"
Q,&#x1D444;,"= \mathit{Q}, MATHEMATICAL ITALIC CAPITAL Q"
R,&#x1D445;,"= \mathit{R}, MATHEMATICAL ITALIC CAPITAL R"
S,&#x1D446;,"= \mathit{S}, MATHEMATICAL ITALIC CAPITAL S"
T,&#x1D447;,"= \mathit{T}, MATHEMATICAL ITALIC CAPITAL T"
U,&#x1D448;,"= \mathit{U}, MATHEMATICAL ITALIC CAPITAL U"
V,&#x1D449;,"= \mathit{V}, MATHEMATICAL ITALIC CAPITAL V"
W,&#x1D44A;,"= \mathit{W}, MATHEMATICAL ITALIC CAPITAL W"
X,&#x1D44B;,"= \mathit{X}, MATHEMATICAL ITALIC CAPITAL X"
Y,&#x1D44C;,"= \mathit{Y}, MATHEMATICAL ITALIC CAPITAL Y"
Z,&#x1D44D;,"= \mathit{Z}, MATHEMATICAL ITALIC CAPITAL Z"
a,&#x1D44E;,"= \mathit{a}, MATHEMATICAL ITALIC SMALL A"
b,&#x1D44F;,"= \mathit{b}, MATHEMATICAL ITALIC SMALL B"
c,&#x1D450;,"= \mathit{c}, MATHEMATICAL ITALIC SMALL C"
d,&#x1D451;,"= \mathit{d}, MATHEMATICAL ITALIC SMALL D"
e,&#x1D452;,"= \mathit{e}, MATHEMATICAL ITALIC SMALL E"
f,&#x1D453;,"= \mathit{f}, MATHEMATICAL ITALIC SMALL F"
g,&#x1D454;,"= \mathit{g}, MATHEMATICAL ITALIC SMALL G"
i,&#x1D456;,"= \mathit{i}, MATHEMATICAL ITALIC SMALL I"
j,&#x1D457;,"= \mathit{j}, MATHEMATICAL ITALIC SMALL J"
k,&#x1D458;,"= \mathit{k}, MATHEMATICAL ITALIC SMALL K"
l,&#x1D459;,"= \mathit{l}, MATHEMATICAL ITALIC SMALL L"
m,&#x1D45A;,"= \mathit{m}, MATHEMATICAL ITALIC SMALL M"
n,&#x1D45B;,"= \mathit{n}, MATHEMATICAL ITALIC SMALL N"
o,&#x1D45C;,"= \mathit{o}, MATHEMATICAL ITALIC SMALL O"
p,&#x1D45D;,"= \mathit{p}, MATHEMATICAL ITALIC SMALL P"
q,&#x1D45E;,"= \mathit{q}, MATHEMATICAL ITALIC SMALL Q"
r,&#x1D45F;,"= \mathit{r}, MATHEMATICAL ITALIC SMALL R"
s,&#x1D460;,"= \mathit{s}, MATHEMATICAL ITALIC SMALL S"
t,&#x1D461;,"= \mathit{t}, MATHEMATICAL ITALIC SMALL T"
u,&#x1D462;,"= \mathit{u}, MATHEMATICAL ITALIC SMALL U"
v,&#x1D463;,"= \mathit{v}, MATHEMATICAL ITALIC SMALL V"
w,&#x1D464;,"= \mathit{w}, MATHEMATICAL ITALIC SMALL W"
x,&#x1D465;,"= \mathit{x}, MATHEMATICAL ITALIC SMALL X"
y,&#x1D466;,"= \mathit{y}, MATHEMATICAL ITALIC SMALL Y"
z,&#x1D467;,"= \mathit{z}, MATHEMATICAL ITALIC SMALL Z"
\mathbfit{A},&#x1D468;,"= \mathbold{A} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL A"
\mathbfit{B},&#x1D469;,"= \mathbold{B} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL B"
\mathbfit{C},&#x1D46A;,"= \mathbold{C} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL C"
\mathbfit{D},&#x1D46B;,"= \mathbold{D} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL D"
\mathbfit{E},&#x1D46C;,"= \mathbold{E} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL E"
\mathbfit{F},&#x1D46D;,"= \mathbold{F} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL F"
\mathbfit{G},&#x1D46E;,"= \mathbold{G} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL G"
\mathbfit{H},&#x1D46F;,"= \mathbold{H} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL H"
\mathbfit{I},&#x1D470;,"= \mathbold{I} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL I"
\mathbfit{J},&#x1D471;,"= \mathbold{J} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL J"
\mathbfit{K},&#x1D472;,"= \mathbold{K} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL K"
\mathbfit{L},&#x1D473;,"= \mathbold{L} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL L"
\mathbfit{M},&#x1D474;,"= \mathbold{M} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL M"
\mathbfit{N},&#x1D475;,"= \mathbold{N} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL N"
\mathbfit{O},&#x1D476;,"= \mathbold{O} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL O"
\mathbfit{P},&#x1D477;,"= \mathbold{P} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL P"
\mathbfit{Q},&#x1D478;,"= \mathbold{Q} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL Q"
\mathbfit{R},&#x1D479;,"= \mathbold{R} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL R"
\mathbfit{S},&#x1D47A;,"= \mathbold{S} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL S"
\mathbfit{T},&#x1D47B;,"= \mathbold{T} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL T"
\mathbfit{U},&#x1D47C;,"= \mathbold{U} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL U"
\mathbfit{V},&#x1D47D;,"= \mathbold{V} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL V"
\mathbfit{W},&#x1D47E;,"= \mathbold{W} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL W"
\mathbfit{X},&#x1D47F;,"= \mathbold{X} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL X"
\mathbfit{Y},&#x1D480;,"= \mathbold{Y} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL Y"
\mathbfit{Z},&#x1D481;,"= \mathbold{Z} (fixmath), MATHEMATICAL BOLD ITALIC CAPITAL Z"
\mathbfit{a},&#x1D482;,"= \mathbold{a} (fixmath), MATHEMATICAL BOLD ITALIC SMALL A"
\mathbfit{b},&#x1D483;,"= \mathbold{b} (fixmath), MATHEMATICAL BOLD ITALIC SMALL B"
\mathbfit{c},&#x1D484;,"= \mathbold{c} (fixmath), MATHEMATICAL BOLD ITALIC SMALL C"
\mathbfit{d},&#x1D485;,"= \mathbold{d} (fixmath), MATHEMATICAL BOLD ITALIC SMALL D"
\mathbfit{e},&#x1D486;,"= \mathbold{e} (fixmath), MATHEMATICAL BOLD ITALIC SMALL E"
\mathbfit{f},&#x1D487;,"= \mathbold{f} (fixmath), MATHEMATICAL BOLD ITALIC SMALL F"
\mathbfit{g},&#x1D488;,"= \mathbold{g} (fixmath), MATHEMATICAL BOLD ITALIC SMALL G"
\mathbfit{h},&#x1D489;,"= \mathbold{h} (fixmath), MATHEMATICAL BOLD ITALIC SMALL H"
\mathbfit{i},&#x1D48A;,"= \mathbold{i} (fixmath), MATHEMATICAL BOLD ITALIC SMALL I"
\mathbfit{j},&#x1D48B;,"= \mathbold{j} (fixmath), MATHEMATICAL BOLD ITALIC SMALL J"
\mathbfit{k},&#x1D48C;,"= \mathbold{k} (fixmath), MATHEMATICAL BOLD ITALIC SMALL K"
\mathbfit{l},&#x1D48D;,"= \mathbold{l} (fixmath), MATHEMATICAL BOLD ITALIC SMALL L"
\mathbfit{m},&#x1D48E;,"= \mathbold{m} (fixmath), MATHEMATICAL BOLD ITALIC SMALL M"
\mathbfit{n},&#x1D48F;,"= \mathbold{n} (fixmath), MATHEMATICAL BOLD ITALIC SMALL N"
\mathbfit{o},&#x1D490;,"= \mathbold{o} (fixmath), MATHEMATICAL BOLD ITALIC SMALL O"
\mathbfit{p},&#x1D491;,"= \mathbold{p} (fixmath), MATHEMATICAL BOLD ITALIC SMALL P"
\mathbfit{q},&#x1D492;,"= \mathbold{q} (fixmath), MATHEMATICAL BOLD ITALIC SMALL Q"
\mathbfit{r},&#x1D493;,"= \mathbold{r} (fixmath), MATHEMATICAL BOLD ITALIC SMALL R"
\mathbfit{s},&#x1D494;,"= \mathbold{s} (fixmath), MATHEMATICAL BOLD ITALIC SMALL S"
\mathbfit{t},&#x1D495;,"= \mathbold{t} (fixmath), MATHEMATICAL BOLD ITALIC SMALL T"
\mathbfit{u},&#x1D496;,"= \mathbold{u} (fixmath), MATHEMATICAL BOLD ITALIC SMALL U"
\mathbfit{v},&#x1D497;,"= \mathbold{v} (fixmath), MATHEMATICAL BOLD ITALIC SMALL V"
\mathbfit{w},&#x1D498;,"= \mathbold{w} (fixmath), MATHEMATICAL BOLD ITALIC SMALL W"
\mathbfit{x},&#x1D499;,"= \mathbold{x} (fixmath), MATHEMATICAL BOLD ITALIC SMALL X"
\mathbfit{y},&#x1D49A;,"= \mathbold{y} (fixmath), MATHEMATICAL BOLD ITALIC SMALL Y"
\mathbfit{z},&#x1D49B;,"= \mathbold{z} (fixmath), MATHEMATICAL BOLD ITALIC SMALL Z"
\mathcal{A},&#x1D49C;,MATHEMATICAL SCRIPT CAPITAL A
\mathcal{C},&#x1D49E;,MATHEMATICAL SCRIPT CAPITAL C
\mathcal{D},&#x1D49F;,MATHEMATICAL SCRIPT CAPITAL D
\mathcal{G},&#x1D4A2;,MATHEMATICAL SCRIPT CAPITAL G
\mathcal{J},&#x1D4A5;,MATHEMATICAL SCRIPT CAPITAL J
\mathcal{K},&#x1D4A6;,MATHEMATICAL SCRIPT CAPITAL K
\mathcal{N},&#x1D4A9;,MATHEMATICAL SCRIPT CAPITAL N
\mathcal{O},&#x1D4AA;,MATHEMATICAL SCRIPT CAPITAL O
\mathcal{P},&#x1D4AB;,MATHEMATICAL SCRIPT CAPITAL P
\mathcal{Q},&#x1D4AC;,MATHEMATICAL SCRIPT CAPITAL Q
\mathcal{S},&#x1D4AE;,MATHEMATICAL SCRIPT CAPITAL S
\mathcal{T},&#x1D4AF;,MATHEMATICAL SCRIPT CAPITAL T
\mathcal{U},&#x1D4B0;,MATHEMATICAL SCRIPT CAPITAL U
\mathcal{V},&#x1D4B1;,MATHEMATICAL SCRIPT CAPITAL V
\mathcal{W},&#x1D4B2;,MATHEMATICAL SCRIPT CAPITAL W
\mathcal{X},&#x1D4B3;,MATHEMATICAL SCRIPT CAPITAL X
\mathcal{Y},&#x1D4B4;,MATHEMATICAL SCRIPT CAPITAL Y
\mathcal{Z},&#x1D4B5;,MATHEMATICAL SCRIPT CAPITAL Z
\mathcal{a},&#x1D4B6;,MATHEMATICAL SCRIPT SMALL A
\mathcal{b},&#x1D4B7;,MATHEMATICAL SCRIPT SMALL B
\mathcal{c},&#x1D4B8;,MATHEMATICAL SCRIPT SMALL C
\mathcal{d},&#x1D4B9;,MATHEMATICAL SCRIPT SMALL D
\mathcal{f},&#x1D4BB;,MATHEMATICAL SCRIPT SMALL F
\mathcal{h},&#x1D4BD;,MATHEMATICAL SCRIPT SMALL H
\mathcal{i},&#x1D4BE;,MATHEMATICAL SCRIPT SMALL I
\mathcal{j},&#x1D4BF;,MATHEMATICAL SCRIPT SMALL J
\mathcal{k},&#x1D4C0;,MATHEMATICAL SCRIPT SMALL K
\mathcal{l},&#x1D4C1;,MATHEMATICAL SCRIPT SMALL L
\mathcal{m},&#x1D4C2;,MATHEMATICAL SCRIPT SMALL M
\mathcal{n},&#x1D4C3;,MATHEMATICAL SCRIPT SMALL N
\mathcal{p},&#x1D4C5;,MATHEMATICAL SCRIPT SMALL P
\mathcal{q},&#x1D4C6;,MATHEMATICAL SCRIPT SMALL Q
\mathcal{r},&#x1D4C7;,MATHEMATICAL SCRIPT SMALL R
\mathcal{s},&#x1D4C8;,MATHEMATICAL SCRIPT SMALL S
\mathcal{t},&#x1D4C9;,MATHEMATICAL SCRIPT SMALL T
\mathcal{u},&#x1D4CA;,MATHEMATICAL SCRIPT SMALL U
\mathcal{v},&#x1D4CB;,MATHEMATICAL SCRIPT SMALL V
\mathcal{w},&#x1D4CC;,MATHEMATICAL SCRIPT SMALL W
\mathcal{x},&#x1D4CD;,MATHEMATICAL SCRIPT SMALL X
\mathcal{y},&#x1D4CE;,MATHEMATICAL SCRIPT SMALL Y
\mathcal{z},&#x1D4CF;,MATHEMATICAL SCRIPT SMALL Z
,&#x1D4D0;,MATHEMATICAL BOLD SCRIPT CAPITAL A
,&#x1D4D1;,MATHEMATICAL BOLD SCRIPT CAPITAL B
,&#x1D4D2;,MATHEMATICAL BOLD SCRIPT CAPITAL C
,&#x1D4D3;,MATHEMATICAL BOLD SCRIPT CAPITAL D
,&#x1D4D4;,MATHEMATICAL BOLD SCRIPT CAPITAL E
,&#x1D4D5;,MATHEMATICAL BOLD SCRIPT CAPITAL F
,&#x1D4D6;,MATHEMATICAL BOLD SCRIPT CAPITAL G
,&#x1D4D7;,MATHEMATICAL BOLD SCRIPT CAPITAL H
,&#x1D4D8;,MATHEMATICAL BOLD SCRIPT CAPITAL I
,&#x1D4D9;,MATHEMATICAL BOLD SCRIPT CAPITAL J
,&#x1D4DA;,MATHEMATICAL BOLD SCRIPT CAPITAL K
,&#x1D4DB;,MATHEMATICAL BOLD SCRIPT CAPITAL L
,&#x1D4DC;,MATHEMATICAL BOLD SCRIPT CAPITAL M
,&#x1D4DD;,MATHEMATICAL BOLD SCRIPT CAPITAL N
,&#x1D4DE;,MATHEMATICAL BOLD SCRIPT CAPITAL O
,&#x1D4DF;,MATHEMATICAL BOLD SCRIPT CAPITAL P
,&#x1D4E0;,MATHEMATICAL BOLD SCRIPT CAPITAL Q
,&#x1D4E1;,MATHEMATICAL BOLD SCRIPT CAPITAL R
,&#x1D4E2;,MATHEMATICAL BOLD SCRIPT CAPITAL S
,&#x1D4E3;,MATHEMATICAL BOLD SCRIPT CAPITAL T
,&#x1D4E4;,MATHEMATICAL BOLD SCRIPT CAPITAL U
,&#x1D4E5;,MATHEMATICAL BOLD SCRIPT CAPITAL V
,&#x1D4E6;,MATHEMATICAL BOLD SCRIPT CAPITAL W
,&#x1D4E7;,MATHEMATICAL BOLD SCRIPT CAPITAL X
,&#x1D4E8;,MATHEMATICAL BOLD SCRIPT CAPITAL Y
,&#x1D4E9;,MATHEMATICAL BOLD SCRIPT CAPITAL Z
,&#x1D4EA;,MATHEMATICAL BOLD SCRIPT SMALL A
,&#x1D4EB;,MATHEMATICAL BOLD SCRIPT SMALL B
,&#x1D4EC;,MATHEMATICAL BOLD SCRIPT SMALL C
,&#x1D4ED;,MATHEMATICAL BOLD SCRIPT SMALL D
,&#x1D4EE;,MATHEMATICAL BOLD SCRIPT SMALL E
,&#x1D4EF;,MATHEMATICAL BOLD SCRIPT SMALL F
,&#x1D4F0;,MATHEMATICAL BOLD SCRIPT SMALL G
,&#x1D4F1;,MATHEMATICAL BOLD SCRIPT SMALL H
,&#x1D4F2;,MATHEMATICAL BOLD SCRIPT SMALL I
,&#x1D4F3;,MATHEMATICAL BOLD SCRIPT SMALL J
,&#x1D4F4;,MATHEMATICAL BOLD SCRIPT SMALL K
,&#x1D4F5;,MATHEMATICAL BOLD SCRIPT SMALL L
,&#x1D4F6;,MATHEMATICAL BOLD SCRIPT SMALL M
,&#x1D4F7;,MATHEMATICAL BOLD SCRIPT SMALL N
,&#x1D4F8;,MATHEMATICAL BOLD SCRIPT SMALL O
,&#x1D4F9;,MATHEMATICAL BOLD SCRIPT SMALL P
,&#x1D4FA;,MATHEMATICAL BOLD SCRIPT SMALL Q
,&#x1D4FB;,MATHEMATICAL BOLD SCRIPT SMALL R
,&#x1D4FC;,MATHEMATICAL BOLD SCRIPT SMALL S
,&#x1D4FD;,MATHEMATICAL BOLD SCRIPT SMALL T
,&#x1D4FE;,MATHEMATICAL BOLD SCRIPT SMALL U
,&#x1D4FF;,MATHEMATICAL BOLD SCRIPT SMALL V
,&#x1D500;,MATHEMATICAL BOLD SCRIPT SMALL W
,&#x1D501;,MATHEMATICAL BOLD SCRIPT SMALL X
,&#x1D502;,MATHEMATICAL BOLD SCRIPT SMALL Y
,&#x1D503;,MATHEMATICAL BOLD SCRIPT SMALL Z
\mathfrak{A},&#x1D504;,MATHEMATICAL FRAKTUR CAPITAL A
\mathfrak{B},&#x1D505;,MATHEMATICAL FRAKTUR CAPITAL B
\mathfrak{D},&#x1D507;,MATHEMATICAL FRAKTUR CAPITAL D
\mathfrak{E},&#x1D508;,MATHEMATICAL FRAKTUR CAPITAL E
\mathfrak{F},&#x1D509;,MATHEMATICAL FRAKTUR CAPITAL F
\mathfrak{G},&#x1D50A;,MATHEMATICAL FRAKTUR CAPITAL G
\mathfrak{J},&#x1D50D;,MATHEMATICAL FRAKTUR CAPITAL J
\mathfrak{K},&#x1D50E;,MATHEMATICAL FRAKTUR CAPITAL K
\mathfrak{L},&#x1D50F;,MATHEMATICAL FRAKTUR CAPITAL L
\mathfrak{M},&#x1D510;,MATHEMATICAL FRAKTUR CAPITAL M
\mathfrak{N},&#x1D511;,MATHEMATICAL FRAKTUR CAPITAL N
\mathfrak{O},&#x1D512;,MATHEMATICAL FRAKTUR CAPITAL O
\mathfrak{P},&#x1D513;,MATHEMATICAL FRAKTUR CAPITAL P
\mathfrak{Q},&#x1D514;,MATHEMATICAL FRAKTUR CAPITAL Q
\mathfrak{S},&#x1D516;,MATHEMATICAL FRAKTUR CAPITAL S
\mathfrak{T},&#x1D517;,MATHEMATICAL FRAKTUR CAPITAL T
\mathfrak{U},&#x1D518;,MATHEMATICAL FRAKTUR CAPITAL U
\mathfrak{V},&#x1D519;,MATHEMATICAL FRAKTUR CAPITAL V
\mathfrak{W},&#x1D51A;,MATHEMATICAL FRAKTUR CAPITAL W
\mathfrak{X},&#x1D51B;,MATHEMATICAL FRAKTUR CAPITAL X
\mathfrak{Y},&#x1D51C;,MATHEMATICAL FRAKTUR CAPITAL Y
\mathfrak{a},&#x1D51E;,MATHEMATICAL FRAKTUR SMALL A
\mathfrak{b},&#x1D51F;,MATHEMATICAL FRAKTUR SMALL B
\mathfrak{c},&#x1D520;,MATHEMATICAL FRAKTUR SMALL C
\mathfrak{d},&#x1D521;,MATHEMATICAL FRAKTUR SMALL D
\mathfrak{e},&#x1D522;,MATHEMATICAL FRAKTUR SMALL E
\mathfrak{f},&#x1D523;,MATHEMATICAL FRAKTUR SMALL F
\mathfrak{g},&#x1D524;,MATHEMATICAL FRAKTUR SMALL G
\mathfrak{h},&#x1D525;,MATHEMATICAL FRAKTUR SMALL H
\mathfrak{i},&#x1D526;,MATHEMATICAL FRAKTUR SMALL I
\mathfrak{j},&#x1D527;,MATHEMATICAL FRAKTUR SMALL J
\mathfrak{k},&#x1D528;,MATHEMATICAL FRAKTUR SMALL K
\mathfrak{l},&#x1D529;,MATHEMATICAL FRAKTUR SMALL L
\mathfrak{m},&#x1D52A;,MATHEMATICAL FRAKTUR SMALL M
\mathfrak{n},&#x1D52B;,MATHEMATICAL FRAKTUR SMALL N
\mathfrak{o},&#x1D52C;,MATHEMATICAL FRAKTUR SMALL O
\mathfrak{p},&#x1D52D;,MATHEMATICAL FRAKTUR SMALL P
\mathfrak{q},&#x1D52E;,MATHEMATICAL FRAKTUR SMALL Q
\mathfrak{r},&#x1D52F;,MATHEMATICAL FRAKTUR SMALL R
\mathfrak{s},&#x1D530;,MATHEMATICAL FRAKTUR SMALL S
\mathfrak{t},&#x1D531;,MATHEMATICAL FRAKTUR SMALL T
\mathfrak{u},&#x1D532;,MATHEMATICAL FRAKTUR SMALL U
\mathfrak{v},&#x1D533;,MATHEMATICAL FRAKTUR SMALL V
\mathfrak{w},&#x1D534;,MATHEMATICAL FRAKTUR SMALL W
\mathfrak{x},&#x1D535;,MATHEMATICAL FRAKTUR SMALL X
\mathfrak{y},&#x1D536;,MATHEMATICAL FRAKTUR SMALL Y
\mathfrak{z},&#x1D537;,MATHEMATICAL FRAKTUR SMALL Z
\mathbb{A},&#x1D538;,"= \mathds{A} (dsfont), MATHEMATICAL DOUBLE-STRUCK CAPITAL A"
\mathbb{B},&#x1D539;,"= \mathds{B} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL B"
\mathbb{D},&#x1D53B;,"= \mathds{D} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL D"
\mathbb{E},&#x1D53C;,"= \mathds{E} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL E"
\mathbb{F},&#x1D53D;,"= \mathds{F} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL F"
\mathbb{G},&#x1D53E;,"= \mathds{G} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL G"
\mathbb{I},&#x1D540;,"= \mathds{I} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL I"
