Latex,Mathml,Description
,&#x00020;,SPACE
\mathbb{R},&#x0211D;,"= \mathds{R} (dsfont), open face R"
\mathbb{Z},&#x02124;,"= \mathds{Z} (dsfont), open face Z"
\tcohm,&#x02126;,"# \mathrm{\Omega}, ohm (deprecated in math, use greek letter)"
\mho,&#x02127;,"= \Mho (wrisym), t \agemO (wasysym), conductance"
\mathfrak{Z},&#x02128;,"/frak Z, black-letter capital Z"
,&#x02129;,turned iota
\Angstroem,&#x0212B;,"# \mathring{\mathrm{A}}, Ångström capital A with ring"
\mathcal{B},&#x0212C;,bernoulli function (script capital B)
\mathfrak{C},&#x0212D;,black-letter capital C
\mathcal{e},&#x0212F;,"/scr e, script small letter e"
\mathcal{E},&#x02130;,"/scr E, script capital E"
\mathcal{F},&#x02131;,"/scr F, script capital F"
\Finv,&#x02132;,TURNED CAPITAL F
\mathcal{M},&#x02133;,physics m-matrix (SCRIPT CAPITAL M)
\mathcal{o},&#x02134;,order of (SCRIPT SMALL O)
\aleph,&#x02135;,"aleph, hebrew"
\beth,&#x02136;,"beth, hebrew"
\gimel,&#x02137;,"gimel, hebrew"
\daleth,&#x02138;,"daleth, hebrew"
\mathbb{\pi},&#x0213C;,"\DoublePi (wrisym), DOUBLE-STRUCK SMALL PI"
\mathbb{\gamma},&#x0213D;,"\EulerGamma (wrisym), DOUBLE-STRUCK SMALL GAMMA"
\mathbb{\Gamma},&#x0213E;,DOUBLE-STRUCK CAPITAL GAMMA
\mathbb{\Pi},&#x0213F;,DOUBLE-STRUCK CAPITAL PI
\mathbb{\Sigma},&#x02140;,DOUBLE-STRUCK N-ARY SUMMATION
,&#x02141;,"# \Game (amssymb), TURNED SANS-SERIF CAPITAL G (amssymb has mirrored G)"
,&#x02142;,TURNED SANS-SERIF CAPITAL L
,&#x02143;,REVERSED SANS-SERIF CAPITAL L
\Yup,&#x02144;,TURNED SANS-SERIF CAPITAL Y
\CapitalDifferentialD,&#x02145;,"= \DD (wrisym), DOUBLE-STRUCK ITALIC CAPITAL D"
\DifferentialD,&#x02146;,"= \dd (wrisym), DOUBLE-STRUCK ITALIC SMALL D"
\ExponetialE,&#x02147;,"= \ee (wrisym), DOUBLE-STRUCK ITALIC SMALL E"
\ComplexI,&#x02148;,"= \ii (wrisym), DOUBLE-STRUCK ITALIC SMALL I"
\ComplexJ,&#x02149;,"= \jj (wrisym), DOUBLE-STRUCK ITALIC SMALL J"
,&#x0214A;,PROPERTY LINE
\invamp,&#x0214B;,"# \bindnasrepma (stmaryrd), TURNED AMPERSAND"
\leftarrow,&#x02190;,"= \gets, a: leftward arrow"
\uparrow,&#x02191;,upward arrow
\rightarrow,&#x02192;,"= \to, = \tfun (oz), = \fun (oz), rightward arrow, z notation total function"
\downarrow,&#x02193;,downward arrow
\leftrightarrow,&#x02194;,"= \rel (oz), LEFT RIGHT ARROW, z notation relation"
\updownarrow,&#x02195;,up and down arrow
\nwarrow,&#x02196;,nw pointing arrow
\nearrow,&#x02197;,ne pointing arrow
\searrow,&#x02198;,se pointing arrow
\swarrow,&#x02199;,sw pointing arrow
\nleftarrow,&#x0219A;,not left arrow
\nrightarrow,&#x0219B;,not right arrow
,&#x0219C;,left arrow-wavy
,&#x0219D;,right arrow-wavy
\twoheadleftarrow,&#x0219E;,left two-headed arrow
,&#x0219F;,up two-headed arrow
\twoheadrightarrow,&#x021A0;,"= \tsur (oz), = \surj (oz), right two-headed arrow, z notation total surjection"
,&#x021A1;,down two-headed arrow
\leftarrowtail,&#x021A2;,left arrow-tailed
\rightarrowtail,&#x021A3;,"= \tinj (oz), = \inj (oz), right arrow-tailed, z notation total injection"
\mapsfrom,&#x021A4;,"= \mappedfrom (kpfonts), maps to, leftward"
\MapsUp,&#x021A5;,"maps to, upward"
\mapsto,&#x021A6;,"maps to, rightward, z notation maplet"
\MapsDown,&#x021A7;,"maps to, downward"
,&#x021A8;,UP DOWN ARROW WITH BASE (perpendicular)
\hookleftarrow,&#x021A9;,left arrow-hooked
\hookrightarrow,&#x021AA;,right arrow-hooked
\looparrowleft,&#x021AB;,left arrow-looped
\looparrowright,&#x021AC;,right arrow-looped
\leftrightsquigarrow,&#x021AD;,left and right arr-wavy
\nleftrightarrow,&#x021AE;,not left and right arrow
\lightning,&#x021AF;,"t \Lightning (marvosym), DOWNWARDS ZIGZAG ARROW"
\Lsh,&#x021B0;,a: UPWARDS ARROW WITH TIP LEFTWARDS
\Rsh,&#x021B1;,a: UPWARDS ARROW WITH TIP RIGHTWARDS
\dlsh,&#x021B2;,left down angled arrow
\drsh,&#x021B3;,right down angled arrow
,&#x021B4;,RIGHTWARDS ARROW WITH CORNER DOWNWARDS
,&#x021B5;,downwards arrow with corner leftward = carriage return
\curvearrowleft,&#x021B6;,left curved arrow
\curvearrowright,&#x021B7;,right curved arrow
,&#x021B8;,NORTH WEST ARROW TO LONG BAR
,&#x021B9;,LEFTWARDS ARROW TO BAR OVER RIGHTWARDS ARROW TO BAR
\circlearrowleft,&#x021BA;,"= \leftturn (wasysym), ANTICLOCKWISE OPEN CIRCLE ARROW"
\circlearrowright,&#x021BB;,"= \rightturn (wasysym), CLOCKWISE OPEN CIRCLE ARROW"
\leftharpoonup,&#x021BC;,left harpoon-up
\leftharpoondown,&#x021BD;,left harpoon-down
\upharpoonright,&#x021BE;,"= \restriction (amssymb), = \upharpoonrightup (wrisym), a: up harpoon-right"
\upharpoonleft,&#x021BF;,"= \upharpoonleftup (wrisym), up harpoon-left"
\rightharpoonup,&#x021C0;,right harpoon-up
\rightharpoondown,&#x021C1;,right harpoon-down
\downharpoonright,&#x021C2;,"= \upharpoonrightdown (wrisym), down harpoon-right"
\downharpoonleft,&#x021C3;,"= \upharpoonleftdown (wrisym), down harpoon-left"
